@relation 'yeast'

@attribute mcg real
@attribute gvh real
@attribute alm real
@attribute mit real
@attribute erl real
@attribute pox real
@attribute vac real
@attribute nuc real
@attribute class {cyt,nuc,mit,me3,me2,me1,exc,vac,pox,erl}

@data
0.58,0.61,0.47,0.13,0.50,0.00,0.48,0.22,mit
0.43,0.67,0.48,0.27,0.50,0.00,0.53,0.22,mit
0.64,0.62,0.49,0.15,0.50,0.00,0.53,0.22,mit
0.58,0.44,0.57,0.13,0.50,0.00,0.54,0.22,nuc
0.42,0.44,0.48,0.54,0.50,0.00,0.48,0.22,mit
0.51,0.40,0.56,0.17,0.50,0.50,0.49,0.22,cyt
0.50,0.54,0.48,0.65,0.50,0.00,0.53,0.22,mit
0.48,0.45,0.59,0.20,0.50,0.00,0.58,0.34,nuc
0.55,0.50,0.66,0.36,0.50,0.00,0.49,0.22,mit
0.40,0.39,0.60,0.15,0.50,0.00,0.58,0.30,cyt
0.43,0.39,0.54,0.21,0.50,0.00,0.53,0.27,nuc
0.42,0.37,0.59,0.20,0.50,0.00,0.52,0.29,nuc
0.40,0.42,0.57,0.35,0.50,0.00,0.53,0.25,cyt
0.60,0.40,0.52,0.46,0.50,0.00,0.53,0.22,mit
0.66,0.55,0.45,0.19,0.50,0.00,0.46,0.22,mit
0.46,0.44,0.52,0.11,0.50,0.00,0.50,0.22,cyt
0.47,0.39,0.50,0.11,0.50,0.00,0.49,0.40,cyt
0.58,0.47,0.54,0.11,0.50,0.00,0.51,0.26,nuc
0.50,0.34,0.55,0.21,0.50,0.00,0.49,0.22,nuc
0.61,0.60,0.55,0.21,0.50,0.00,0.50,0.25,nuc
0.45,0.40,0.50,0.16,0.50,0.00,0.50,0.22,cyt
0.43,0.44,0.48,0.22,0.50,0.00,0.51,0.22,cyt
0.73,0.63,0.42,0.30,0.50,0.00,0.49,0.22,cyt
0.43,0.53,0.52,0.13,0.50,0.00,0.55,0.22,cyt
0.46,0.53,0.52,0.15,0.50,0.00,0.58,0.22,cyt
0.51,0.51,0.52,0.51,0.50,0.00,0.54,0.22,mit
0.59,0.45,0.53,0.19,0.50,0.00,0.59,0.27,cyt
0.57,0.47,0.60,0.18,0.50,0.00,0.51,0.22,cyt
0.63,0.67,0.57,0.24,0.50,0.00,0.49,0.22,mit
0.80,0.88,0.36,0.39,0.50,0.00,0.56,0.33,me1
0.53,0.54,0.43,0.10,0.50,0.00,0.57,0.32,nuc
0.51,0.51,0.43,0.87,0.50,0.00,0.52,0.22,mit
0.38,0.61,0.61,0.12,0.50,0.00,0.53,0.47,cyt
0.33,0.55,0.51,0.43,0.50,0.00,0.51,0.22,nuc
0.78,0.74,0.42,0.26,0.50,0.00,0.43,0.22,me1
0.74,0.67,0.47,0.34,0.50,0.00,0.42,0.22,exc
0.72,0.61,0.45,0.30,0.50,0.00,0.54,0.25,mit
0.40,0.45,0.57,0.18,0.50,0.00,0.56,0.26,cyt
0.59,0.53,0.43,0.44,0.50,0.00,0.50,0.22,mit
0.57,0.53,0.53,0.34,0.50,0.00,0.53,0.22,mit
0.86,0.68,0.39,0.24,0.50,0.00,0.54,0.22,me2
0.86,0.74,0.51,0.40,0.50,0.00,0.55,0.22,me2
0.79,0.57,0.41,0.28,0.50,0.00,0.59,0.22,me2
0.41,0.54,0.39,0.20,0.50,0.00,0.51,0.22,me3
0.37,0.36,0.56,0.18,0.50,0.00,0.48,0.26,vac
0.53,0.31,0.58,0.39,0.50,0.00,0.47,0.37,nuc
0.74,0.75,0.58,0.47,0.50,0.00,0.40,0.35,me2
0.49,0.39,0.52,0.29,0.50,0.00,0.48,0.22,exc
0.74,0.57,0.51,0.28,0.50,0.00,0.58,0.22,vac
0.42,0.24,0.34,0.16,0.50,0.00,0.50,0.22,me3
0.48,0.39,0.51,0.21,0.50,0.00,0.52,0.28,cyt
0.41,0.53,0.45,0.14,0.50,0.00,0.52,0.66,me3
0.45,0.46,0.55,0.43,0.50,0.00,0.55,0.38,nuc
0.56,0.48,0.58,0.27,0.50,0.00,0.51,0.22,cyt
0.64,0.59,0.56,0.23,0.50,0.00,0.46,0.22,cyt
0.64,0.56,0.56,0.22,0.50,0.00,0.45,0.22,cyt
0.66,0.62,0.49,0.10,0.50,0.00,0.49,0.22,cyt
0.53,0.44,0.51,0.33,0.50,0.00,0.55,0.22,cyt
0.38,0.49,0.53,0.19,0.50,0.00,0.50,0.22,cyt
0.45,0.58,0.48,0.67,0.50,0.00,0.52,0.22,mit
0.43,0.35,0.52,0.52,0.50,0.00,0.54,0.22,mit
0.37,0.32,0.47,0.18,0.50,0.00,0.45,0.25,nuc
0.48,0.43,0.51,0.32,0.50,0.00,0.52,0.43,nuc
0.41,0.46,0.59,0.19,0.50,0.00,0.58,0.27,nuc
0.54,0.48,0.44,0.08,0.50,0.00,0.52,0.27,cyt
0.60,0.47,0.45,0.22,0.50,0.00,0.51,0.29,cyt
0.34,0.46,0.57,0.09,0.50,0.00,0.55,0.22,cyt
0.48,0.54,0.55,0.12,0.50,0.00,0.51,0.22,cyt
0.47,0.39,0.59,0.15,0.50,0.00,0.57,0.22,cyt
0.81,0.85,0.47,0.37,0.50,0.00,0.56,0.22,exc
0.48,0.42,0.52,0.24,0.50,0.00,0.56,0.22,cyt
0.58,0.51,0.49,0.27,0.50,0.00,0.57,0.29,cyt
0.60,0.50,0.44,0.61,0.50,0.00,0.47,0.22,mit
0.45,0.55,0.54,0.66,0.50,0.00,0.47,0.22,mit
0.46,0.49,0.58,0.23,0.50,0.00,0.44,0.22,mit
0.49,0.42,0.56,0.55,0.50,0.00,0.42,0.25,mit
0.63,0.53,0.54,0.40,0.50,0.00,0.50,0.22,mit
0.50,0.54,0.53,0.54,0.50,0.00,0.51,0.27,mit
0.63,0.57,0.59,0.40,0.50,0.00,0.38,0.22,mit
0.43,0.57,0.51,0.49,0.50,0.00,0.48,0.22,mit
0.48,0.45,0.55,0.50,0.50,0.00,0.53,0.22,mit
0.50,0.58,0.46,0.46,0.50,0.00,0.46,0.22,mit
0.51,0.54,0.60,0.57,0.50,0.00,0.58,0.22,mit
